,computed_x,computed_y,distance_error,x,y,configuration
0,1.0,5.800000000000001,5.217980623693944,0.60488889,0.597,ffly reu
1,0.5,1.1,0.6989153591426017,0.60488889,1.791,ffly reu
2,0.0,5.800000000000001,2.879256079136664,0.60488889,2.985,ffly reu
3,0.8,3.6,0.6109904624831981,0.60488889,4.179,ffly reu
4,2.3000000000000003,2.3000000000000003,3.509520006389112,0.60488889,5.373,ffly reu
5,1.8,2.3000000000000003,1.703063155378828,1.81466667,0.597,ffly reu
6,2.7,4.5,2.849999316703232,1.81466667,1.791,ffly reu
7,1.6,5.300000000000001,2.324931564414078,1.81466667,2.985,ffly reu
8,2.9000000000000004,3.5,1.2802302282046343,1.81466667,4.179,ffly reu
9,2.3000000000000003,4.6000000000000005,0.9127307605251883,1.81466667,5.373,ffly reu
10,0.8,0.30000000000000004,2.244184053647765,3.02444444,0.597,ffly reu
11,2.7,4.800000000000001,3.0264410112617295,3.02444444,1.791,ffly reu
12,3.3000000000000003,3.4000000000000004,0.49815245321780177,3.02444444,2.985,ffly reu
13,3.4000000000000004,4.1000000000000005,0.38377464565407904,3.02444444,4.179,ffly reu
14,3.5,4.0,1.453025151415802,3.02444444,5.373,ffly reu
15,6.0,5.800000000000001,5.494468142444885,4.23422222,0.597,ffly reu
16,3.3000000000000003,0.6000000000000001,1.513688262602881,4.23422222,1.791,ffly reu
17,3.8000000000000003,2.7,0.5193976668620377,4.23422222,2.985,ffly reu
18,4.3,3.9000000000000004,0.28664911711311497,4.23422222,4.179,ffly reu
19,3.7,5.2,0.5615357338066106,4.23422222,5.373,ffly reu
20,0.7000000000000001,0.0,4.781416631083302,5.444,0.597,ffly reu
21,2.8000000000000003,4.3,3.6449714676523874,5.444,1.791,ffly reu
22,5.1000000000000005,1.9000000000000001,1.1382271302336802,5.444,2.985,ffly reu
23,5.9,4.0,0.4898744737175029,5.444,4.179,ffly reu
24,6.9,4.5,1.697664572287471,5.444,5.373,ffly reu
25,5.6000000000000005,3.1,2.7157791901444654,6.65377778,0.597,ffly reu
26,7.2,1.0,0.9612698443318234,6.65377778,1.791,ffly reu
27,6.9,1.8,1.210310035330505,6.65377778,2.985,ffly reu
28,6.5,2.3000000000000003,1.885282102397869,6.65377778,4.179,ffly reu
29,7.1000000000000005,2.6,2.8086728662522678,6.65377778,5.373,ffly reu
30,6.800000000000001,1.7000000000000002,1.5322400037875634,7.86355556,0.597,ffly reu
31,7.300000000000001,0.8,1.1400332754823048,7.86355556,1.791,ffly reu
32,8.3,0.9,2.130189838771867,7.86355556,2.985,ffly reu
33,8.0,3.1,1.0875927938373415,7.86355556,4.179,ffly reu
34,9.600000000000001,5.300000000000001,1.7379782200036107,7.86355556,5.373,ffly reu
35,9.200000000000001,3.9000000000000004,3.3054278762799973,9.07333333,0.597,ffly reu
36,8.9,2.5,0.7298804308165066,9.07333333,1.791,ffly reu
37,10.9,3.5,1.8978767408050736,9.07333333,2.985,ffly reu
38,10.3,3.4000000000000004,1.453118067910825,9.07333333,4.179,ffly reu
39,8.700000000000001,3.1,2.303455399023148,9.07333333,5.373,ffly reu
40,9.4,5.6000000000000005,5.080343908890955,10.28311111,0.597,ffly reu
41,10.700000000000001,2.1,0.5189194028030104,10.28311111,1.791,ffly reu
42,10.5,2.7,0.3581421374334942,10.28311111,2.985,ffly reu
43,9.200000000000001,2.3000000000000003,2.1688178062265697,10.28311111,4.179,ffly reu
44,10.9,0.0,5.408297412550962,10.28311111,5.373,ffly reu
0,1.8,2.6,2.3324449758237455,0.60488889,0.597,3 mean
1,1.0,3.3000000000000003,1.559869798811886,0.60488889,1.791,3 mean
2,0.7000000000000001,2.4000000000000004,0.5926812998951726,0.60488889,2.985,3 mean
3,0.4,3.0,1.1966705717303459,0.60488889,4.179,3 mean
4,0.0,5.800000000000001,0.7404185095237913,0.60488889,5.373,3 mean
5,1.5,4.800000000000001,4.2147626401980105,1.81466667,0.597,3 mean
6,1.4000000000000001,2.9000000000000004,1.1839887867749803,1.81466667,1.791,3 mean
7,1.0,3.2,0.8425596615129928,1.81466667,2.985,3 mean
8,1.7000000000000002,4.6000000000000005,0.4363363899663757,1.81466667,4.179,3 mean
9,0.0,2.0,3.83016241472981,1.81466667,5.373,3 mean
10,3.0,2.3000000000000003,1.7031754256819567,3.02444444,0.597,3 mean
11,1.9000000000000001,3.2,1.8026803096075892,3.02444444,1.791,3 mean
12,0.1,2.4000000000000004,2.9823816460417856,3.02444444,2.985,3 mean
13,8.6,4.0,5.578428165948443,3.02444444,4.179,3 mean
14,5.2,5.2,2.1824231932984297,3.02444444,5.373,3 mean
15,4.9,1.5,1.121904208184339,4.23422222,0.597,3 mean
16,3.5,0.0,1.935655772171728,4.23422222,1.791,3 mean
17,3.1,5.800000000000001,3.0349110438926763,4.23422222,2.985,3 mean
18,7.1000000000000005,3.3000000000000003,2.997552882659742,4.23422222,4.179,3 mean
19,5.4,2.9000000000000004,2.734001981042027,4.23422222,5.373,3 mean
20,6.2,0.9,0.8144599437664203,5.444,0.597,3 mean
21,8.200000000000001,1.3,2.799395827674251,5.444,1.791,3 mean
